capability_id	original_owner_source	original_entrypoint_user_surface	current_canonical_owner	current_invocation_user_surface	disposition	supporting_evidence	verification_status	migration_disposition	unresolved_concern
C7_recording_attach_policy	implicit in pre-collapse recorder attach	internal	position/policy.py RECORDING_ATTACH_POLICY	position/attachment_factory.py (recorder path)	CURRENT_CANONICAL	position/policy.py, position/attachment_factory.py direct source reads	VERIFIED	FORMALIZED	none
C8_presence_validation	implicit (pre-collapse)	internal	position/IndependentNativeReader.py presence_validation_source	internal	CURRENT_CANONICAL, USER_RUN_LIVE_VALIDATION_PENDING	docs/architecture/POSITION_AND_POINTER_RECOVERY.md sec 1	VERIFIED offline (field/states enumerated via source read)	FORMALIZED	G5 criterion 4 (presence-validation-source parity with pre-migration) pending live confirmation
C9_profiling_policy	position/profiling/ (pre-collapse origin, Phase-5-established dev-only layer)	internal, recorder/dev-only	position/profiling/	internal	DEV_TOOL	docs/migration/PHASE11_DEPENDENCY_BOUNDARY_ANALYSIS.md (position/profiling/ classified DEV_ONLY, absent from live import closure by design)	VERIFIED (Phase 11 finding, re-confirmed)	UNCHANGED	none
C10_g5_rollback_material	entire canonical position/ package (current dev-app source)	N/A	position/*.py (canonical, current)	N/A until G5	CURRENT_CANONICAL (retained pending G5, never a Phase-12/13/14 deletion candidate)	docs/migration/codex_handoff/PHASE12_REPORT.md sec 8; docs/KNOWN_DEBT.md	VERIFIED (position/ confirmed unchanged by git diff every phase, including this one)	UNCHANGED	G5 pending by design, not a migration defect
D1_navigation_package	simulator/kinodynamic_route_planner.py + simulator/movement_kernel.py (pre-Phase-9 origin)	internal	navigation/ package (5 modules)	internal	CURRENT_CANONICAL	CANONICAL_OWNERS.toml navigation concepts; docs/architecture/NAVIGATION_AND_MOVEMENT.md	VERIFIED	MOVE + REDESIGN (Phase 9, kinodynamic replacement of the 2D-path design)	none
D2_production_router	simulator/route_waypoint_generator.py (pre-Phase-9, now superseded)	internal (training/inference)	navigation/kinodynamic_route_planner.py select_persistent_waypoint + TargetPersistenceController	internal	CURRENT_CANONICAL	navigation/kinodynamic_route_planner.py direct source read (docstring, this phase and Phase 13)	VERIFIED	REDESIGN (Phase 9) -- documented rationale in NAVIGATION_AND_MOVEMENT.md sec 2	simulator/route_waypoint_generator.py itself retained, unreferenced by current training path -- HISTORICAL_COMPATIBILITY, not deleted (Section 29: no ceremonial cleanup)
D3_persistent_waypoint_selection	(part of D2)	internal	navigation/kinodynamic_route_planner.py	internal	CURRENT_CANONICAL	same as D2	VERIFIED	REDESIGN (Phase 9)	none
D4_movement_kernel	3 independent reimplementations (RecordedFarmingEnv._move_player, simulator/steering_oracle.py x3, kinodynamic mean-transition math) pre-Phase-9	internal	navigation/movement_kernel.py	internal	CURRENT_CANONICAL	navigation/movement_kernel.py docstring (direct read, re-confirmed this phase)	VERIFIED	CONSOLIDATION (Phase 9, eliminated 3-way duplication)	none
D5_movement_kinematics	(part of D4's predecessors)	internal	navigation/movement_kinematics.py	internal	CURRENT_CANONICAL	navigation/ package listing (this phase)	VERIFIED (file exists)	MOVE (Phase 9)	none
D6_navigation_evidence_history	ad hoc per-caller sidecar computation (pre-Phase-9)	internal	navigation/navigation_evidence.py	internal, used by checkpoint sidecar features	CURRENT_CANONICAL	CANONICAL_OWNERS.toml shared_navigation_evidence concept; docs/architecture/NAVIGATION_AND_MOVEMENT.md sec 5	VERIFIED	CONSOLIDATION (Phase 9)	Historical MISTAKES.md entry documents a real prior bug in a DIFFERENT (scratchpad harness) caller failing to thread previous_steering -- not a navigation/ package defect, already fixed and logged
D7_route_waypoint_sim_adapter	N/A (simulator-specific, always training-only)	internal (training)	simulator/router_waypoint_env.py	internal (training only)	TRAINING_ONLY	docs/migration/PHASE11_DEPENDENCY_BOUNDARY_ANALYSIS.md (forbidden_first_party_prefixes)	VERIFIED	UNCHANGED	none
D8_checkpoint_compatibility_shims	N/A (created by Phase 9 to preserve pickle identity)	N/A	simulator/kinodynamic_route_planner.py, simulator/movement_kernel.py	N/A (transparent to pickle)	ABI_COMPATIBILITY	docs/architecture/DATA_AND_MODEL_CONTRACTS.md sec 1c; tests/test_pickle_module_identity_compat.py	VERIFIED (re-run this phase)	NEW_IN_PHASE_9, permanent (removal_gate=NEVER)	none
E1_recorder_application	flyff_farming_recorder/app.py (pre-collapse)	python app.py	apps/recorder_app.py	python -m apps.recorder_app	CURRENT_CANONICAL	docs/migration/codex_handoff/PHASE10_REPORT.md; tests/test_canonical_module_invocation.py (re-run this phase)	VERIFIED	MOVE + RENAME (Phase 10)	none
E2_archive_writer	flyff_farming_recorder/recorder/format.py (pre-collapse origin)	internal	recorder/format.py, recorder/session.py	internal, used by apps/recorder_app.py	CURRENT_CANONICAL	recorder/ package listing (this phase); docs/architecture/RECORDING_TELEMETRY_AND_ARCHIVES.md sec 1	VERIFIED (files present)	MOVE (Phase 5/7)	none
E3_native_capture	flyff_farming_recorder/recorder/native_capture.py (pre-collapse origin)	internal	recorder/native_capture.py	internal	CURRENT_CANONICAL	recorder/ package listing (this phase)	VERIFIED (file present)	MOVE (Phase 5/7)	none
E4_lifecycle	flyff_farming_recorder/recorder/lifecycle.py (pre-collapse origin)	internal	recorder/lifecycle.py	internal	CURRENT_CANONICAL	recorder/ package listing (this phase)	VERIFIED (file present)	MOVE (Phase 5/7)	none
E5_movement_classification	flyff_farming_recorder/recorder/movement_classification.py (pre-collapse origin)	internal	recorder/movement_classification.py	internal	CURRENT_CANONICAL	docs/migration/PHASE8_ARCHIVE_OWNER_ANALYSIS.md (B3 bridge context, this class specifically named)	VERIFIED	MOVE (Phase 5/7); B3 bootstrap removed (Phase 8)	none
E6_active_field_profiling	flyff_farming_recorder/recorder/active_field_profiler.py (pre-collapse origin)	internal	recorder/active_field_profiler.py	internal	CURRENT_CANONICAL / DEV_TOOL	recorder/ package listing (this phase)	VERIFIED (file present)	MOVE (Phase 5/7)	none
E7_archive_provenance	recording_provenance.json (Phase-8 legacy-attestation registry)	internal	recording_provenance.json + legacy/manifest_compat.py	internal, used by simulator/schema.py	HISTORICAL_COMPATIBILITY	docs/migration/PHASE11_RUNTIME_RESOURCE_MANIFEST.tsv row 7 (sha 660ed443...)	VERIFIED (Phase 11 hash evidence)	UNCHANGED	Relevant only to archives predating embedded provenance -- documented, not a live-runtime need
E8_recording_policy	implicit (pre-collapse)	internal	position/policy.py RECORDING_ATTACH_POLICY	recorder attach path	CURRENT_CANONICAL	same as C7	VERIFIED	FORMALIZED	none
F1_simulator_cli	run_simulator.py (pre-collapse)	python run_simulator.py	apps/simulator_cli.py	python -m apps.simulator_cli	CURRENT_CANONICAL	docs/migration/codex_handoff/PHASE10_REPORT.md; tests/test_canonical_module_invocation.py (re-run this phase)	VERIFIED	MOVE + RENAME (Phase 10)	none
F2_archive_loading	simulator/schema.py (pre-existing, corrected classification Phase 8/10)	internal	simulator/schema.py	internal, used by tools.inventory_recordings, devtools.archives.*	CURRENT_CANONICAL (SHARED_RUNTIME_CORE)	docs/architecture/RECORDING_TELEMETRY_AND_ARCHIVES.md secs 1-2; [rules.R7b] in CANONICAL_OWNERS.toml	VERIFIED	CORRECTED_CLASSIFICATION (Phase 8/10: not "archives/", which never existed)	none
F3_training_evaluation_code	simulator/*.py env/training files (pre-existing)	python run_simulator.py train/etc	simulator/environment.py, static_waypoint_env.py, single_obstacle_env.py, synthetic.py, basic_training.py, etc.	internal (training only, via apps/simulator_cli.py or root scratchpads)	TRAINING_ONLY / SIMULATOR_ONLY	docs/migration/PHASE11_DEPENDENCY_BOUNDARY_ANALYSIS.md sec 1	VERIFIED	UNCHANGED	none
F4_map_model	simulator/map_model.py (pre-existing)	internal	simulator/map_model.py	internal (simulator side)	TRAINING_ONLY / CURRENT_CANONICAL (dual, simulator-side map derivation)	docs/architecture/MAPS_AND_COORDINATE_FRAMES.md sec 2	VERIFIED	UNCHANGED	none
F5_waypoint_nav_environments	simulator/router_waypoint_env.py, static_waypoint_env.py (pre-existing)	internal (training)	same	internal (training)	TRAINING_ONLY	docs/migration/PHASE11_DEPENDENCY_BOUNDARY_ANALYSIS.md	VERIFIED	UNCHANGED	none
F6_historical_reproduction_guard	scratchpad_historical_reproduction_guard.py (Phase-9-era, B4-linked)	internal (test/reproduction)	same path, unchanged	tests/tooling, git tag historical-reproduction-baseline-20260815	HISTORICAL_COMPATIBILITY	docs/migration/PHASE11_DEPENDENCY_BOUNDARY_ANALYSIS.md sec 7; B4 in BRIDGES.md	VERIFIED (protected tag re-confirmed this phase)	UNCHANGED, permanent	none
F7_offline_dev_capability	ad hoc scripts (pre-collapse)	various	apps/simulator_cli.py + root scratchpad_*.py corpus (~110 files, per-file classified, not bulk-reclassified)	various	TRAINING_ONLY / HISTORICAL_ONLY (mixed, per-file)	docs/migration/PHASE9_REPORT.md sec on scratchpad classification; docs/migration/PHASE11_DEPENDENCY_BOUNDARY_ANALYSIS.md sec 7	VERIFIED (count and classification approach re-confirmed, not re-audited file-by-file this phase -- no new evidence required)	UNCHANGED (Section 16 of every phase: no bulk scratchpad reorganization)	none
G1_observation_telemetry	ad hoc (pre-collapse)	manual script	apps/telemetry_cli.py + devtools/telemetry/observation_telemetry.py	python -m apps.telemetry_cli	CURRENT_CANONICAL	docs/architecture/RECORDING_TELEMETRY_AND_ARCHIVES.md sec 4; tests/test_canonical_module_invocation.py (re-run this phase)	VERIFIED	NEW_IN_PHASE_10 (formalized from ad hoc scripts)	none
G2_calibration_tools	tools/*calibration*.py (pre-Phase-10)	manual script from tools/	devtools/calibration/*.py (7 scripts)	Development Tools panel or direct invocation	DEV_TOOL	docs/migration/codex_handoff/PHASE10_REPORT.md (phase10_calibration_tool_moves)	VERIFIED (Phase 10 evidence)	MOVE (Phase 10)	none
G3_archive_inspection	manual archive reading (pre-Phase-10)	manual script	devtools/artifact_inventory.py	Development Tools panel artifact table	CURRENT_CANONICAL	docs/migration/codex_handoff/PHASE10_REPORT.md (phase10_artifact_inventory); tests/test_devtools_gui_tools.py	VERIFIED (re-run this phase)	NEW_IN_PHASE_10	none
G4_native_diagnostics	tools/{probe_native_position,scan_native_pointer_workflow,...}.py (pre-Phase-10)	manual script from tools/	devtools/native/*.py (4 scripts)	Development Tools panel or direct invocation	DEV_TOOL	docs/migration/codex_handoff/PHASE10_REPORT.md (phase10_native_tool_moves)	VERIFIED (Phase 10 evidence)	MOVE (Phase 10)	none
G5cap_artifact_inventory	(duplicate of G3, listed separately per Section-8's own lettering)	--	devtools/artifact_inventory.py	--	CURRENT_CANONICAL	see G3	VERIFIED	see G3	none
G6_process_orchestration	N/A (did not exist pre-migration)	N/A	devtools/processes.py, devtools/session_context.py	Development Tools panel	CURRENT_CANONICAL	docs/migration/codex_handoff/PHASE10_REPORT.md; tests/test_devtools_process_orchestrator.py (re-run this phase)	VERIFIED	NEW_IN_PHASE_10	none
H1_tower_source_bytes	map_assets/ (pre-existing, frozen Phase 2/6)	internal	map_assets/{coordinate_frame.json,map.json,occupancy.npy} + mapper/maps/tower_aoe/ (byte-identical pair)	internal (simulator + live mapper)	HISTORICAL_COMPATIBILITY (frozen) / CURRENT_CANONICAL (actively read)	docs/architecture/MAPS_AND_COORDINATE_FRAMES.md sec 1 (hashes re-verified this phase, see PHASE14_REPORT.md sec 23)	VERIFIED (hashes re-checked this phase)	UNCHANGED, frozen	none
H2_coordinate_frame	(part of H1)	internal	same files	internal	HISTORICAL_COMPATIBILITY / CURRENT_CANONICAL	same as H1	VERIFIED	UNCHANGED	none
H3_live_tower_profile	farming/map_profile.py (pre-existing, named Phase 6)	internal	farming/map_profile.py LIVE_TOWER_PROFILE	internal (live bot obstacle-buffer derivation)	CURRENT_CANONICAL	docs/architecture/MAPS_AND_COORDINATE_FRAMES.md sec 2 (re-confirmed via source read this phase)	VERIFIED	NAMED (Phase 6)	none
H4_sim_tower_profile	farming/map_profile.py (pre-existing, named Phase 6)	internal	farming/map_profile.py SIM_TOWER_PROFILE	internal (simulator obstacle-buffer derivation)	CURRENT_CANONICAL / TRAINING_ONLY	same as H3	VERIFIED	NAMED (Phase 6)	none
H5_derivation_semantics	implicit (pre-Phase-6)	N/A	farming/map_profile.py + docs/architecture/MAPS_AND_COORDINATE_FRAMES.md	N/A	CURRENT_CANONICAL (documented)	docs/migration/codex_handoff/PHASE6_REPORT.md (G12/MAP6 evidence, re-cited this phase)	VERIFIED	DOCUMENTED (Phase 6, restated Phase 13)	none
I1_native_farming_json	foreground_vision_bot/native_farming.json	config file	native_farming.json (repo root)	loaded at startup	CURRENT_CANONICAL	docs/migration/PHASE11_RUNTIME_RESOURCE_MANIFEST.tsv row 2	VERIFIED (Phase 11 hash evidence)	MOVE	none
I2_native_monsters_json	foreground_vision_bot/position/native_monsters.json	config file	position/native_monsters.json (repo root)	loaded at startup	CURRENT_CANONICAL	docs/migration/PHASE11_RUNTIME_RESOURCE_MANIFEST.tsv row 4	VERIFIED	MOVE (Phase 5)	none
I3_native_position_json	foreground_vision_bot/position/native_position.json	config file	position/native_position.json (repo root)	loaded at startup	CURRENT_CANONICAL	docs/migration/PHASE11_RUNTIME_RESOURCE_MANIFEST.tsv row 5	VERIFIED	MOVE (Phase 5)	none
I4_map_resources	(covered by H1/H2)	--	--	--	CURRENT_CANONICAL	see H1	VERIFIED	see H1	none
I5_recorder_config_json	flyff_farming_recorder/recorder_config.json	config file	recorder_config.json (repo root)	loaded by recorder	CURRENT_CANONICAL	docs/migration/PHASE11_RUNTIME_RESOURCE_MANIFEST.tsv row 3	VERIFIED	MOVE (Phase 7)	none
J1_frozen_checkpoint	models/generalized_waypoint_both_seed2_0051200.zip (frozen, R10-tracked)	loaded by Start Training / Run Trained Agent	same path	same	CURRENT_CANONICAL (active) + ABI_COMPATIBILITY (its own deserialization contract)	docs/architecture/DATA_AND_MODEL_CONTRACTS.md; PHASE14_REPORT.md sec 21 (hash/load re-verified this phase)	VERIFIED (fresh-process load + hash this phase)	UNCHANGED, never retrained	Final SHIPPED checkpoint remains an unresolved future product choice (not this checkpoint's validity)
J2_b4_historical_tag	git tag historical-reproduction-baseline-20260815	N/A	same tag	N/A	HISTORICAL_COMPATIBILITY (permanent)	BRIDGES.md B4 entry; re-verified exact SHA this phase	VERIFIED	UNCHANGED, permanent	none
J3_evaluation_evidence	evaluations/, docs/migration/CHECKPOINT_INVENTORY.tsv (313 rows)	N/A	same	N/A (R10 ruler + tests reference it)	HISTORICAL_COMPATIBILITY	R10 ruler result (313 checkpoints, 317 refs, 0 failures, re-run this phase)	VERIFIED	UNCHANGED	none
J4_recording_archive_compat	legacy/manifest_compat.py	internal	legacy/manifest_compat.py	internal, used by simulator/schema.py	ABI_COMPATIBILITY / HISTORICAL_COMPATIBILITY	[rules.R7b] in CANONICAL_OWNERS.toml; docs/architecture/RECORDING_TELEMETRY_AND_ARCHIVES.md sec 2	VERIFIED	UNCHANGED (Phase 8 extraction, R7b-governed)	none
J5_protected_artifacts	checkpoints/, recordings/, maps	N/A	same	N/A	HISTORICAL_COMPATIBILITY	docs/agent/PROJECT_RULES.md sec 6; re-confirmed unchanged this phase (see PHASE14_REPORT.md sec 27)	VERIFIED	UNCHANGED	none
