consumer	resource_path	resource_kind	tracked	exists	current_sha256_if_applicable	current_role	future_runtime_candidate	artifact_contract	notes
mapper/MapCatalog.py	mapper/maps/tower_aoe/coordinate_frame.json	map data	yes	yes	40339f6c397d38fe01d5b3a5300e5b9b6d499f06292f436b1f91ea34523a0414	Live-bot mapper's persisted coordinate frame	yes	Phase-6 frozen Tower source (byte-identical pair)	See above
mapper/MapCatalog.py	mapper/maps/tower_aoe/occupancy.npy	map data	yes	yes	62fa3c9ec3aed0b3b134b82577292c0a8a67b0acc4111fde3a36e3d2684d789b	Live-bot mapper's persisted occupancy grid	yes	Phase-6 frozen Tower source (byte-identical pair)	See above
mapper/MapCatalog.py	mapper/maps/tower_aoe/map_overview.png	map preview image	yes	yes	n/a (image, not hashed here)	Mapper UI preview thumbnail	yes (GUI-only, optional)	not migration-frozen	GUI_DEV convenience asset only, not required for headless inference
libs/DigitReader.py, libs/KillCounterPanel.py, libs/PlayerStatusPanel.py	assets/digits/*.png (10 files + bracket.png)	OCR template images	yes	yes	n/a (11 image files)	Digit/character template matching for kill counter and status panel OCR	yes (if vision-based reading is retained)	not migration-frozen	RUNTIME_NATIVE-adjacent; needed only if a future runtime keeps cv2-template OCR rather than a pure-native reading path
Bot.py, libs/ComputerVision.py	assets/general/*.png (4 files: inventory_icons, inventory_perin_converter, mob_life_bar, user_target_bar)	UI-detection template images	yes	yes	n/a (4 image files)	Template matching for in-game UI panel detection	yes (if vision-based UI detection is retained)	not migration-frozen	Same category as digit templates
mapper/*	assets/map/map_arrow*.png	minimap template images	yes	yes	n/a (multiple image files)	Minimap heading-arrow template matching	yes (if vision-based heading detection is retained)	not migration-frozen	Alternative to native heading field / displacement-derived heading; RawHeadingSample.source=MINIMAP_VISION path
models/generalized_waypoint_both_seed2_0051200.zip	models/generalized_waypoint_both_seed2_0051200.zip	checkpoint (referenced by tests/docs, not by any live entrypoint today)	yes	yes	87bd8d3e0be88b7f243ad6c9b35ff6d3f8bde1f37b35334febf936ec115cda50	Frozen R10-tracked checkpoint corpus member; the checkpoint every ABI/pickle-compat test in this migration exercises	unresolved_future_choice (candidate final model, not selected)	Phase-2 frozen R10 evidence; checkpoint bytes are scientific artifacts, never rewritten	Not currently loaded by any dev-app/runtime_controller code path (only by tests and the migration-integrity ruler); which checkpoint a future runtime derivative actually ships is explicitly NOT decided in Phase 11
project_paths.py	models/, training_logs/	directory root (not a single resource)	n/a	yes	n/a	App-relative model/log output roots	yes (models/ read path only; training_logs/ is dev/training-only)	not migration-frozen	`resolve_app_path()`/`ensure_project_layout()` already make these CWD-independent, relative to `project_paths.APP_ROOT = Path(__file__).resolve().parent`
devtools/session_context.py	models/, map_assets/, recordings/, evaluations/, telemetry_sessions/	directory roots	n/a	yes (except telemetry_sessions/, created on demand)	n/a	Phase-10 canonical devtools resource-root resolution	dev-only (devtools scope)	not migration-frozen	Already CWD-independent (`Path(__file__).resolve().parents[1]`), unaffected by Phase 11 -- audited, not re-implemented
FlyffFarmingRecorder.spec	position/native_monsters.json, position/native_position.json	PyInstaller `datas` entries	yes	yes	(see rows above)	Bundled into the recorder's packaged executable	no (recorder-specific packaging, unrelated to a future runtime derivative)	not migration-frozen	PACKAGING_ONLY; confirmed unchanged since Phase 10's mechanical spec-path update
