path_or_group,current_role,classification,evidence,planned_destination,related_task
"foreground_vision_bot/libs/ActionExecutor.py; HumanKeyboard.py; CameraDiscoverySweep.py","Input/focus/camera primitives","Keep but refactor","Active Bot and unified farming dependencies","game/input.py and game/focus_camera.py","INPUT-001"
"foreground_vision_bot/libs/NavigatorActionExecutor.py","Persistent movement-key executor","Merge into another module","Unified patch directly calls navigator.executor.execute","canonical direct movement executor","INPUT-001"
"foreground_vision_bot/libs/LiveNavigatorController.py","Goal navigator plus executor-only shell","Replace","Unified construction sets load_policy=False and uses only executor/stop/EVA; goal methods remain imported","direct control/session component","INPUT-003"
"foreground_vision_bot/libs/NativeMapContext.py","Active farming map bridge","Keep but refactor","Loads selected map, transform, occupancy, safety masks; imports generic pieces from mapper/rl","mapping/map_context.py without navigator dependency","BOUND-001"
"foreground_vision_bot/libs/ComputerVision.py; DigitReader.py; KillCounterPanel.py; WindowCapture.py","Active preview/template/OCR/capture utilities","Keep but refactor","Direct Bot/runtime imports and OCR preview use","vision/","BOUND-003"
"foreground_vision_bot/libs/FlyffEnv.py; ObservationBuilder.py; foreground_vision_bot/train.py","Pre-native visual farming environment/trainer","Archive as historical experiment","No GUI dispatch; 125-feature flyff_ppo metadata matches this stack","archive/legacy_farming or delete after coverage migration","CLEAN-002"
"foreground_vision_bot/libs/ClusterDetector.py; GameInterface.py; human_mouse/**; utils/SyncedTimer.py; utils/decorators.py","Unreferenced legacy utilities","Delete as generated/dead code","No production/test importers; human_mouse references are internal only","delete after Pass 2 external-use check","CLEAN-002"
"foreground_vision_bot/utils/helpers.py","Window selection/logo/UI helpers","Keep but refactor","Imported by GUI entry and native diagnostic scripts","app/platform helpers","GUI-001"
"foreground_vision_bot/assets/Assets.py; assets/mobs_list.json; assets/mob_types/**; assets/names/**","Mob registry, GUI element icons, optional CV templates","Keep but refactor","GUI add/select/delete and Bot template reload use these dynamically","vision/assets plus typed mob registry","BOUND-003"
"foreground_vision_bot/assets/digits/**; assets/ui/**","Kill-counter OCR assets","Keep as-is","DigitReader and DynamicKillCounterReader load these paths","vision/assets/ocr","BOUND-003"
"foreground_vision_bot/assets/map/map_arrow_n.png; map_arrow_ne.png; map_arrow_e.png; map_arrow_se.png; map_arrow_s.png; map_arrow_sw.png; map_arrow_w.png; map_arrow_nw.png","Minimap heading templates","Keep as-is","MinimapHeadingDetector explicitly requires all eight","mapping/assets/heading","BOUND-002"
"foreground_vision_bot/assets/map/map_arrow.png; assets/general/**; assets/names/Pang.png","Legacy/unclear image assets","Unknown/requires runtime confirmation","No direct consumer for base arrow or GeneralAssets values; Pang is not in current mob registry","delete or archive after runtime/external-use confirmation","CLEAN-001"
"foreground_vision_bot/mapper/__init__.py; CoordinateMapper.py; ManualDriveMapper.py; ManualMapEditor.py; MapCatalog.py; OccupancyGrid.py; CoordinateFrame.py; CoordinateMapLogger.py; Explorer.py; CompletionGuard.py; FreeSpaceInference.py; WallInference.py; MinimapHeading.py; MinimapAnchorSetup.py; NativeCourseHeading.py; NativeMonsterMapOverlay.py; AdaptiveMappingController.py","GUI-reachable native mapping/editor/overlay core","Keep but refactor","Concrete GUI/runtime/native farming call paths traced; package Mapper resolves CoordinateMapper","mapping/ split by catalog/grid/editor/runner/heading/overlay responsibility","BOUND-001"
"foreground_vision_bot/mapper/Mapper.py; Calibration.py; CalibrationSchema.py; ForwardCalibration.py; MappingController.py; MotionTracker.py; RotationModel.py; TurnControl.py; FastHeadingTracker.py; MapLogger.py; PangDetector.py","Older visual mapper/calibration stack","Archive as historical experiment","Only legacy tests, lazy compatibility exports, or old mapper importers; no GUI event starts it","archive/legacy_mapping then delete compatibility exports","CLEAN-002"
"foreground_vision_bot/mapper/AdaptiveMapper.py; AdaptiveHeadingSafety.py; AdaptiveMotionModel.py; AdaptiveMotionTracker.py; AdaptiveRunMotionBaseline.py; AdaptiveTurnControl.py; mapper/adaptive_motion.json","Adaptive mapper experiment","Archive as historical experiment","Not selected by Mapper alias; CoordinateMapper reports shadow disabled; reached by tests/explicit import only","archive/legacy_mapping","CLEAN-002"
"foreground_vision_bot/mapper/calibration.json","Legacy visual calibration data","Archive as historical experiment","Read by legacy Mapper/RotationCalibrator only","archive/legacy_mapping/data","CLEAN-002"
"foreground_vision_bot/mapper/coordinate_mapper.json; minimap_anchor.json; map_profiles.json","Active mapping configs","Keep but refactor","Loaded by CoordinateMapper/CameraSweep, heading detector/setup, and catalog; JSON/default mismatch exists","typed mapping config and versioned catalog","BOUND-002"
"foreground_vision_bot/mapper/maps/tower_aoe/.skip_legacy_import; coordinate_frame.json; map.json; occupancy.npy; visits.npy; map_local.png; map_overview.png; map_preview.png","Active Tower AoE release map","Keep as-is","Selected default map; farming transform/safety/teleport and GUI preview depend on coherent set","versioned mapping/data/tower_aoe","BOUND-002"
"foreground_vision_bot/mapper/maps/tower_aoe/FINAL_MAP_REPORT.json","Map-generation provenance report","Keep but refactor","Counts differ by one free/blocked cell from current arrays; not runtime authority","mapping/data/tower_aoe/provenance","BOUND-002"
"foreground_vision_bot/mapper/rl/LayoutSources.py; NavigatorCore.py; ProceduralDungeon.py; TravelCost.py","Mixed generic map helpers and navigation code","Merge into another module","NativeMapContext/env/observation import loader, layout, mask, distance, enum/type pieces","extract generic mapping/farming primitives; delete remaining navigator portions","BOUND-001"
"foreground_vision_bot/mapper/rl/NavigatorTraining.py; NavigatorGymEnv.py; foreground_vision_bot/train_navigator_offline.py; mapper/rl/navigator_training*.json","Removed goal-conditioned movement PPO","Archive as historical experiment","CLI/test/config only; outputs target models/movement; unified runtime sets load_policy=False","archive/removed_movement_policy then delete","CLEAN-002"
"foreground_vision_bot/mapper/rl/ActionMask.py; FeatureExtractor.py; GymEnv.py; LiveObservation.py; Observation.py; OfflineTraining.py; OpenArena.py; Policy.py; PolicyTypes.py; ShadowPlanner.py; SimulatorCore.py; mapper/rl/offline_training.json; foreground_vision_bot/train_mapper_offline.py","Offline mapper RL/shadow experiment","Archive as historical experiment","Standalone CLI/tests or inactive AdaptiveMapper; CoordinateMapper never enables shadow","archive/mapper_rl_experiment","CLEAN-002"
"foreground_vision_bot/mapper/rl/__init__.py","RL package eager export surface","Replace","Exports both removed navigator and experimental mapper types, increasing accidental reachability","remove after generic helper extraction","BOUND-001"
"foreground_vision_bot/models/farming/native_strategy_ppo.zip","Active unified PPO checkpoint","Keep as-is","ZIP metadata Box(482), Discrete(4), 771 timesteps; config points here","preserved release/user model artifact","FARM-003"
"foreground_vision_bot/models/farming/flyff_ppo.zip","Legacy visual farming checkpoint","Archive as historical experiment","Box(125) matches legacy ObservationBuilder; active config points to native_strategy instead","archive/legacy_farming model or remove from source","CLEAN-002"
"foreground_vision_bot/models/farming/.gitkeep; models/mapping/.gitkeep","Output directory placeholders","Keep but refactor","No tracked mapping model; output convention may move","runtime-created output directories","CLEAN-003"
"foreground_vision_bot/position/**","Native configs/readers/memory/recovery/factories","Keep but refactor","Active Bot attach and diagnostics; shared pointer/layout duplication is documented","native/ with shared pointer owner","PTR-001"
"foreground_vision_bot/inspect_native_monsters.py; tools/probe_native_position.py","Native diagnostic CLIs","Keep but refactor","Direct executable diagnostics for actor/player state","native/diagnostics CLI","PTR-004"
"foreground_vision_bot/tools/apply_v0_*_cleanup.py; tools/cleanup_legacy_mapping.py; tools/checkpoint_and_start_adaptive_pivot.ps1","Past cleanup/pivot scripts","Archive as historical experiment","Not imported; destructive one-time migration intent tied to superseded releases","archive/migrations or delete after checkpoint","CLEAN-001"
"foreground_vision_bot/migrate_project_layout.py; repair_test_layout.py","One-time layout migration/repair CLIs","Archive as historical experiment","Only direct CLI and dedicated tests; current canonical layout already exists","archive/migrations after validating no supported upgrade path","CLEAN-001"
"foreground_vision_bot/conftest.py; tests/conftest.py","Pytest temp/import-path setup","Keep but refactor","Both participate in canonical test discovery and have distinct roles","pyproject pytest configuration plus minimal test fixture","DOC-002"
"foreground_vision_bot/tests/test_*.py","Canonical test suite","Keep but refactor","79 tracked files cover active behavior, legacy mapper/RL, and version/source-string implementation details","behavior-named tests retained; obsolete implementation tests replaced before deletion","FARM-004"
"foreground_vision_bot/v0706_patch/**; v0707_patch/**; v0708_patch/**","Versioned patch installers and duplicate payloads/tests","Delete as generated/dead code","Installed canonical payloads exist; six payload/test pairs are byte-identical; duplicate test module names break root collection","delete after checkpoint and behavior coverage","CLEAN-003"
"foreground_vision_bot/.patch_backups/**","Installer-generated source backups","Delete as generated/dead code","10 tracked backup files, 156002 bytes; git checkpoint supersedes rollback role","delete after manifest/checkpoint validation","CLEAN-003"
"foreground_vision_bot/training_logs/farming/flyff_ppo_1/**","Legacy TensorBoard logs","Delete as generated/dead code","10 generated event files for legacy model","external/local experiment storage, not source","CLEAN-003"
"foreground_vision_bot/training_logs/farming/native_strategy/**; training_logs/farming/native_sessions/**","Unified TensorBoard/session output","Delete as generated/dead code","Generated run logs; three reports contain local absolute paths and null-pointer failures","runtime output outside source control; retain concise audit facts only","CLEAN-003"
"foreground_vision_bot/training_logs/mapping/**; training_logs/movement/**","Offline mapper/movement TensorBoard logs","Delete as generated/dead code","Generated experiment events; movement logs serve removed design","external/local experiment storage","CLEAN-003"
"foreground_vision_bot/training_logs/farming/.gitkeep; training_logs/mapping/.gitkeep","Output placeholders","Keep but refactor","Directories are runtime outputs but convention may remain","runtime-created output directories","CLEAN-003"
"foreground_vision_bot/debug/**; foreground_vision_bot/gui_crash.log; **/__pycache__/**; .pytest_cache/**; .ruff_cache/**; foreground_vision_bot/.pytest_tmp/**","Ignored local debug/cache/crash material","Delete as generated/dead code","Present on disk, ignored, not tracked; stale temp directories include access-denied entries","local cleanup only, never source control","CLEAN-003"
